"SOFTWARE\Classes\CLSID\{6AF33D21-9BC5-4F65-8654-B8059B822D91}\TypeLib\";"DigitalProductId";"";"";"";"*"
"SOFTWARE\Classes\CLSID\";"{77032DAA-B7F2-101B-A1F0-01C29183BCA1}";"";"";"";"*"
"SYSTEM\CurrentControlSet\Services\";"Fdisk";"";"";"";"*"
"SYSTEM\ControlSet001\Services\";"Fdisk";"";"";"";"*"
"SYSTEM\CurrentControlSet\Control\Session Manager\";"ResourceSubSys";"";"";"";"*"
"SYSTEM\ControlSet001\Control\Session Manager\";"MemSubSys";"";"";"";"*"
"SYSTEM\ControlSet001\Enum\Root\";"LEGACY_MSNDSRV";"";"";"";"*"
"SYSTEM\ControlSet001\Services\";"MSNDSRV";"";"";"";"*"
"SYSTEM\ControlSet001\Enum\Root\";"LEGACY_HRILIB";"";"";"";"*"
"SYSTEM\ControlSet001\Services\";"hrilib";"";"";"";"*"
"SOFTWARE\Microsoft\Windows NT\CurrentVersion\";"ServerSetup";"";"";"";"*"
"SOFTWARE\Microsoft\Windows\CurrentVersion\";"AcctCfg";"";"";"";"*"
"SOFTWARE\Classes\CLSID\";"{091FD378-422D-A36E-8487-83B57ADD2109}";"";"";"";"*"
"SOFTWARE\Classes\CLSID\{091FD378-422D-A36E-8487-83B57ADD2109}\";"TypeLib";"";"";"";"*"
"SOFTWARE\Classes\CLSID\{091FD378-422D-A36E-8487-83B57ADD2109}\";"Version";"";"";"";"*"
"SYSTEM\CurrentControlSet\Control\Session Manager\";"MemSubSys";"";"";"";"*"
"SYSTEM\CurrentControlSet\Services\";"MSNDSRV";"";"";"";"*"
"System\CurrentControlSet\Control\MediaResources\acm\";"ECELP4";"";"";"";"*"
"Software\Microsoft\";"MSNetMng";"";"";"";"*"
"Software\Classes\AppID\";"{D758AF94-A6C0-4407-A440-0FA06C74AC6E}";"";"";"";"*"
"System\CurrentControlSet\Services\";"msndsrv";"";"";"";"*"
"System\ControlSet*\Control\Class\{4F20E605-9452-4787-B793-D0204917CA58}\";"Class";"";"";"";"*"
"System\ControlSet*\Control\Class\{9B9A8ADB-8864-4BC4-8AD5-B17DFDBB9F58}\";"Class";"";"";"";"*"
"System\ControlSet*\Control\Session\";"{5D42A36B-12C4-DE7C-4BD1-0612BD1CF324}";"";"";"";"*"
"System\ControlSet*\Control\Class\{4F20E605-9452-4787-B793-D0204917CA5A}\";"Class";"";"";"";"*"
